,paper_id,author_id,author_name
0,5633,7865,Leon Gatys
1,5633,7866,Alexander S. Ecker
2,5633,2385,Matthias Bethge
3,5634,7867,Ming Liang
4,5634,7868,Xiaolin Hu
5,5634,3841,Bo Zhang
6,5635,5571,Oriol Vinyals
7,5635,7869,?ukasz Kaiser
8,5635,7870,Terry Koo
9,5635,3753,Slav Petrov
10,5635,3959,Ilya Sutskever
11,5635,7871,Geoffrey Hinton
12,5636,7872,Kisuk Lee
13,5636,7873,Aleksandar Zlateski
14,5636,7874,Vishwanathan Ashwin
15,5636,863,H. Sebastian Seung
16,5637,5667,Lucas Theis
17,5637,2385,Matthias Bethge
18,5638,7875,Shaoqing Ren
19,5638,7876,Kaiming He
20,5638,7398,Ross Girshick
21,5638,7877,Jian Sun
22,5639,7878,Jimei Yang
23,5639,7879,Scott E. Reed
24,5639,1946,Ming-Hsuan Yang
25,5639,3292,Honglak Lee
26,5640,7880,Mengye Ren
27,5640,5506,Ryan Kiros
28,5640,6522,Richard Zemel
29,5641,7881,Haoyuan Gao
30,5641,7212,Junhua Mao
31,5641,7882,Jie Zhou
32,5641,7883,Zhiheng Huang
33,5641,4134,Lei Wang
34,5641,4027,Wei Xu
35,5642,7189,Marijn F. Stollenga
36,5642,7884,Wonmin Byeon
37,5642,3585,Marcus Liwicki
38,5642,583,J?rgen Schmidhuber
39,5643,3863,?zg?r ?im?ek
40,5643,7885,Marcus Buckmann
41,5644,7886,Xiaozhi Chen
42,5644,7887,Kaustav Kundu
43,5644,7888,Yukun Zhu
44,5644,7889,Andrew G. Berneshawi
45,5644,7890,Huimin Ma
46,5644,4379,Sanja Fidler
47,5644,4509,Raquel Urtasun
48,5645,4435,Mingyuan Zhou
49,5645,7891,Yulai Cong
50,5645,5132,Bo Chen
51,5646,7892,Danilo Bzdok
52,5646,7893,Michael Eickenberg
53,5646,7894,Olivier Grisel
54,5646,4194,Bertrand Thirion
55,5646,4729,Gael Varoquaux
56,5647,7895,Matthieu Courbariaux
57,5647,178,Yoshua Bengio
58,5647,7896,Jean-Pierre David
59,5648,7897,Edward Grefenstette
60,5648,7898,Karl Moritz Hermann
61,5648,7899,Mustafa Suleyman
62,5648,3916,Phil Blunsom
63,5649,7900,Oren Rippel
64,5649,5274,Jasper Snoek
65,5649,3862,Ryan P. Adams
66,5650,7901,Michael Shvartsman
67,5650,7902,Vaibhav Srivastava
68,5650,347,Jonathan D. Cohen
69,5651,7903,Mathias Berglund
70,5651,7190,Tapani Raiko
71,5651,7904,Mikko Honkala
72,5651,7905,Leo K?rkk?inen
73,5651,7906,Akos Vetek
74,5651,7907,Juha T. Karhunen
75,5652,4506,Emile Richard
76,5652,7908,Georges A. Goetz
77,5652,2160,E.J. Chichilnisky
78,5653,7909,Junyoung Chung
79,5653,7910,Kyle Kastner
80,5653,6533,Laurent Dinh
81,5653,7911,Kratarth Goel
82,5653,2205,Aaron C. Courville
83,5653,178,Yoshua Bengio
84,5654,7912,Chris Piech
85,5654,7913,Jonathan Bassen
86,5654,3538,Jonathan Huang
87,5654,4596,Surya Ganguli
88,5654,7914,Mehran Sahami
89,5654,3539,Leonidas J. Guibas
90,5654,7915,Jascha Sohl-Dickstein
